# player track of capture 2026-09-15_13-16-33-496 (schema 0.34.0, mod 0.28.0): one line per consecutive brain tick from tick 1, the recorder player_px (his feet, player.Bottom) and player_vel columns, px_x,px_y,vel_x,vel_y
51923.16,5968.00,1.58,0.00
51924.82,5968.00,1.66,0.00
51926.55,5968.00,1.74,0.00
51928.38,5968.00,1.82,0.00
51930.27,5968.00,1.90,0.00
51932.25,5968.00,1.98,0.00
51934.31,5968.00,2.06,0.00
51936.45,5968.00,2.14,0.00
51938.67,5968.00,2.22,0.00
51940.97,5968.00,2.30,0.00
51943.35,5968.00,2.38,0.00
51945.81,5968.00,2.46,0.00
51948.35,5968.00,2.54,0.00
51950.97,5968.00,2.62,0.00
51953.67,5968.00,2.70,0.00
51956.45,5968.00,2.78,0.00
51959.31,5968.00,2.86,0.00
51962.25,5968.00,2.94,0.00
51965.27,5968.00,3.02,0.00
51968.09,5968.00,2.82,0.00
51970.99,5968.00,2.90,0.00
51973.97,5968.00,2.98,0.00
51977.03,5968.00,3.06,0.00
51979.89,5968.00,2.86,0.00
51982.83,5968.00,2.94,0.00
51985.85,5968.00,3.02,0.00
51988.67,5968.00,2.82,0.00
51991.57,5968.00,2.90,0.00
51994.55,5968.00,2.98,0.00
51997.61,5968.00,3.06,0.00
52000.47,5968.00,2.86,0.00
52003.41,5968.00,2.94,0.00
52006.43,5968.00,3.02,0.00
52009.25,5968.00,2.82,0.00
52012.15,5968.00,2.90,0.00
52015.13,5968.00,2.98,0.00
52018.19,5968.00,3.06,0.00
52021.05,5968.00,2.86,0.00
52023.99,5968.00,2.94,0.00
52027.01,5968.00,3.02,0.00
52029.83,5968.00,2.82,0.00
52032.73,5968.00,2.90,0.00
52035.71,5968.00,2.98,0.00
52038.77,5968.00,3.06,0.00
52041.62,5968.00,2.86,0.00
52044.57,5968.00,2.94,0.00
52047.59,5968.00,3.02,0.00
52050.41,5968.00,2.82,0.00
52053.30,5968.00,2.90,0.00
52056.29,5968.00,2.98,0.00
52059.34,5968.00,3.06,0.00
52062.20,5968.00,2.86,0.00
52065.14,5968.00,2.94,0.00
52068.16,5968.00,3.02,0.00
52070.98,5968.00,2.82,0.00
52073.88,5968.00,2.90,0.00
52076.86,5968.00,2.98,0.00
52079.92,5968.00,3.06,0.00
52082.78,5968.00,2.86,0.00
52085.72,5968.00,2.94,0.00
52088.74,5968.00,3.02,0.00
52091.56,5968.00,2.82,0.00
52094.46,5968.00,2.90,0.00
52097.44,5968.00,2.98,0.00
52100.50,5968.00,3.06,0.00
52103.36,5968.00,2.86,0.00
52106.30,5968.00,2.94,0.00
52109.32,5968.00,3.02,0.00
52112.14,5968.00,2.82,0.00
52115.04,5968.00,2.90,0.00
52118.02,5968.00,2.98,0.00
52121.08,5968.00,3.06,0.00
52123.94,5968.00,2.86,0.00
52126.88,5968.00,2.94,0.00
52129.90,5968.00,3.02,0.00
52132.72,5968.00,2.82,0.00
52135.62,5968.00,2.90,0.00
52138.60,5968.00,2.98,0.00
52141.66,5968.00,3.06,0.00
52144.52,5968.00,2.86,0.00
52147.46,5968.00,2.94,0.00
52150.48,5968.00,3.02,0.00
52153.30,5968.00,2.82,0.00
52156.20,5968.00,2.90,0.00
52159.18,5968.00,2.98,0.00
52162.23,5968.00,3.06,0.00
52165.09,5968.00,2.86,0.00
52168.04,5968.00,2.94,0.00
52171.05,5968.00,3.02,0.00
52173.88,5968.00,2.82,0.00
52176.77,5968.00,2.90,0.00
52179.75,5968.00,2.98,0.00
52182.81,5968.00,3.06,0.00
52185.67,5968.00,2.86,0.00
52188.61,5968.00,2.94,0.00
52191.63,5968.00,3.02,0.00
52194.45,5968.00,2.82,0.00
52197.35,5968.00,2.90,0.00
52200.33,5968.00,2.98,0.00
52203.39,5968.00,3.06,0.00
52206.25,5968.00,2.86,0.00
52209.19,5968.00,2.94,0.00
52212.21,5968.00,3.02,0.00
52215.03,5968.00,2.82,0.00
52217.93,5968.00,2.90,0.00
52220.91,5968.00,2.98,0.00
52223.97,5968.00,3.06,0.00
52226.83,5968.00,2.86,0.00
52229.77,5968.00,2.94,0.00
52232.79,5968.00,3.02,0.00
52235.61,5968.00,2.82,0.00
52238.51,5968.00,2.90,0.00
52241.49,5968.00,2.98,0.00
52244.55,5968.00,3.06,0.00
52247.41,5968.00,2.86,0.00
52250.35,5968.00,2.94,0.00
52253.37,5968.00,3.02,0.00
52256.19,5968.00,2.82,0.00
52259.09,5968.00,2.90,0.00
52262.07,5968.00,2.98,0.00
52265.12,5968.00,3.06,0.00
52267.98,5968.00,2.86,0.00
52270.93,5968.00,2.94,0.00
52273.95,5968.00,3.02,0.00
52276.77,5968.00,2.82,0.00
52279.66,5968.00,2.90,0.00
52282.64,5968.00,2.98,0.00
52285.70,5968.00,3.06,0.00
